EquiposCodigo;ModelosCodigo;EquiposNS
1;11243;08206810k3-00665
2;10833;S/N
3;11245;s/n
4;11246;JRLT11QKWFRXUL2VA21A
5;11247;MAC-0021B79DCC78
6;11249;GPI-001
7;11249;2132
8;11250;788C7760C93A
9;11249;AdministracionO1
10;11249;18012489
11;11251;MAC
12;11249;083020SK835-0589
13;11249;082420SK8350569
14;11249;17012470
15;11249;01022410
16;11249;18012479
17;11252;0060
18;11252;18012403
19;11253;0047
20;11254;225
21;11255;400740701
22;11256;141
23;11257;0171
24;11258;88
25;11259;52003926022
26;11260;108020SK835-1231
27;11253;197
28;11258;0036
29;11258;0071
30;11261;0066
31;11261;115
32;11261;124
33;11260;01022401
34;11262;123
35;11260;1476
36;11263;18032501
37;11258;89
38;11263;17032484
39;11264;185
40;11258;55
41;11265;84
42;11266;18012449
43;11267;BRBSG59G7P
44;11260;108020SK8351223
45;11260;0058
46;11262;79
47;11260;103420-SK835-2114(Planilla 0083)
48;11260;103420-SK835-2114(Planilla 0078)
49;11262;0179
50;11267;BRBSBDFL57
51;11260;112
52;11268;134
53;11257;1102331411101001793 planilla 0062
54;11262;178
55;11262;179
56;10760;031621-LC72714-0606
57;11270;082420-SK835-1903
58;11271;MXL1440BW1
59;11263;001
60;11272;08206810K3-0769( orden planilla 139)
61;11272;08206810K30873(Orden Planilla 0050)
62;11272;08206810K3-0781 (Orden Planilla 0064)
63;11260;108020SK8351494 (Orden Planilla 93)
64;11260;108020-SK835-1283
65;11273;F3XTTL1
66;11260;108020-SK835-1283 (Orden Planilla 62)
67;11275;s1h02a6c
68;11258;0048
69;11276;08146810k3-143
70;11261;118
71;11260;082420SK835-0573
72;11260;108020SK835-2349-0172
73;11260;L5SOHT3DJ23R7ALUYZGC
74;11261;08206810K30873
75;11261;147
76;11272;08206810K3-0781(Orden de Planilla 0064)
77;11260;108020-sk835-1187
78;11272;08206810k3-0769
79;11266;197 (Orden de Planilla)
80;11277;08146810K3-0143
81;11258;82
82;11274;0133
83;11260;123420SK835-0206 (ORDEN P. 85)
84;11260;18012443 (Orden Planilla 0133)
85;11260;19012414 (Orden Planilla 18)
86;11258;46
87;11258;53
88;11274;103420SK835-1178 (Orden Planilla 16)
89;11260;108020SK835-1289
90;11256;108020SK835-2349
91;11261;10
92;11258;62
93;11260;1213 (Orden Planilla 92)
94;11260;108020-SK835-1255(Orden Planilla 111)
95;11262;207
96;11278;S/N (Orden Planilla 151)
97;11260;103420SK835-1107
98;11279;17012424
99;11280;08206810K3-0009(Orden Planilla 111)
100;11281;Q7HBM003791
101;11260;103420SK835-0206
102;11282;801191401001093 (Orden Planilla 0057)
103;11283;0731B8GF9C014WT
104;11270;082420-SK835-1903 (Orden Planilla 15)
105;11269;1102331411101002458 (Orden Planilla 132)
106;11262;82 (orden planilla)
107;11284;BRBSC45L4D (Orden Planilla 20)
108;11274;103420SK835
109;11262;120
110;11285;08206010K3-0880 (Orden Planilla 113)
111;11286;01022404
112;11262;122
113;11287;316702 (Orden Planilla 80)
114;11288;S/N (Orden Planilla 206)
115;11289;082068-10K3-0002 (Orden Planilla 10)
116;11290;01022409 (Orden Planilla 86)
117;11289;17012405
118;11291;158
119;11256;108020SK835-1332
120;11292;S/N (Orden Planilla 179)
121;11293;18012444
122;11289;08206810K3-0875 (Orden Planilla 183)
123;11294;18012433 (Orden Planilla 0071)
124;11295;18012444 (Orden Planilla 0163)
125;11260;108020SK835-2374
126;11296;0S41B4YS5AEMML (Orden Planilla 87)
127;11260;108020-SK835-1259 (Orden Planilla 106)
128;11288;S/N Orden Planilla 206
129;11297;S/N (Orden Planilla 79)
130;11298;18012431(Orden Planilla 070)
131;11260;108020-SK835-0466(Orden Planilla 99)
132;11274;2162( Orden Planilla 96)
133;11272;143
134;11256;108020-SK835-1485
135;11291;0122
136;11299;08146810K3-0246
137;11266;0905874 (Orden Planilla 0162)
138;11260;MXL14407GR (Orden Planilla 361)
139;11258;201570366000022
140;11257;18012450
141;11258;81 
142;11300;08206810K3-0017 (Orden Planilla 0048)
143;11261;117 (nro serie 08206810k3-878)
144;11261;114 Nro serie 08206810K3-0722
145;11301;125 nro serie 17012412
146;11258;28 nro serie 108020-sk835-0118
147;11302;108020SK8351265 (Orden Planilla 81)
