ReparacionesCodigo;ReparacionesFecha;ClientesCodigo;EquiposCodigo;ReparacionesFalla;ReparacionesInformeTecnico;ReparacionesFechaEntregado;ReparacionesTerminada;ReparacionesAccesorios;TecnicosCodigo;ReparacionesEntrega;ReparacionesCostoManoObra
1;2025-08-11;1;1;Se ha identificado una falla en la motherboard: el disipador del chip de video se sobrecalienta. Se recomienda cambio de mother, micro y memoria;Se procedió al cambio de mother, micro y memoria pero la falla persiste.;98-11-26;1;Mother Gigabyte H510M - Intel I3-10105 - DDR4 8GB;5;0.0;0.0
2;2025-08-11;10;2;Configuracion de usuario;;2025-08-11;1;;2;0.0;0.0
3;2025-08-11;4;5;Reclamo: No se conecta la impresora- Sergio;El Servicio de cola de impresión estaba detenido. Solucionado.;2025-08-11;1;;8;0.0;0.0
4;2025-08-08;5;6;Solicita la revisión de la PC y backup.;11/08/2025 Por nota aclaran que no es necesario el resguardo de los datos.;2025-08-13;1;;7;0.0;0.0
5;2025-08-13;6;7;El Word Office se cierra transcurridos unos minutos. Se instala una versión anterior (Office 2013);La versión instalada de Office 2024, no es estable por lo cual se instala una versión anterior.(2013);2025-08-13;1;;8;0.0;0.0
6;2025-08-14;7;8;No puede imprimir.;Se reinstala los drivers de la impresora, además la cola de impresión estaba detenida. Solucionado.;2025-08-14;1;;8;0.0;0.0
7;2025-08-14;8;9;Archivo de Excel corrupto;Se trató de recuperar archivo dañado de la carpeta compartida. Solucionado.;2025-08-14;1;;8;0.0;0.0
8;2025-08-18;9;10;PC se reinicia.Da pantallazo azul. Posible falla de disco.;Se intento hacer backup desde la misma pc, tambien colgandola de otra pc y en ambos casos se clava. 21/8 se deja informe para solicitar disco nuevo. 15/09 traen disco nuevo, se procede al cambio;2025-11-12;1;;2;0.0;0.0
9;2025-08-18;10;11;No permite imprimir doble cara. Se reinstala drivers de la impresora y se configura Preferencias de Impresión.;Solucionado.;2025-08-18;1;;8;0.0;0.0
10;2025-08-21;11;12;Revisar y optimizar funcionamiento.;;98-11-26;1;;6;0.0;0.0
11;2025-08-21;11;13;Revisar y optimizar funcionamiento.;Limpieza, Formateo e instalacion de sistema operativo y aplicaciones;2026-02-27;1;;6;0.0;0.0
12;2025-09-10;12;14;Reemplazar Fuente y Disco. Instalar Sist Operativo/Programas;Lista;2025-09-15;1;Fuente Noga 700W. Disco SSD HIKSEMI 240 GB;8;0.0;0.0
