RepuestosCodigo;RepuestosDescripcion;RepuestosPrecioCosto;RepuestosPrecioVenta;RepuestosStock;ProveedoresCodigo
CPU6;Mother MSI, Micro AMD A12, 8GB. SSD: 240GB;0.0;0.0;0.0;1
CPU7;Mother HP, Micro i3 2100, 2GB. HD:500GB;0.0;0.0;0.0;1
CPU8;Mother Gigabyte, Micro Intel Core, 4GB. SSD: 240GB;0.0;0.0;0.0;1
CPU9;Mother Asrock, Micro i5 4460. No tiene RAM. No tiene HD.;0.0;0.0;0.0;1
CPU10;Mother ... , Micro i3, 4GB. No tiene HD.;0.0;0.0;0.0;1
CPU11;Mother HP, Micro i3. No tiene RAM. HD:500GB;0.0;0.0;0.0;1
CPU12;Mother Asrock, Micro i5 4460. No tiene RAM. No tiene HD.;0.0;0.0;0.0;1
CPU13;Mother Asrock, Micro AMD A4, 4GB. No tiene HD.;0.0;0.0;0.0;1
CPU14;Mother Gigabyte, Micro i5 44405, 4GB. No tiene HD.;0.0;0.0;0.0;1
CPU15;Mother Gigabyte, Micro i5 44405, 4GB. HD: 1TB;0.0;0.0;0.0;1
CPU16;Mother Gigabyte, Micro i5 44405, 4GB. No tiene HD.;0.0;0.0;0.0;1
CPU0001;Mother Asrock, Micro i7, 8GB. No tiene disco;0.0;0.0;0.0;1
CPU0002;Mother Asrock, Micro AMD A4, 4GB.HD:500GB;0.0;0.0;0.0;1
CPU0003;Mother HS10M, Micro i3, 4GB. SSD:240GB;0.0;0.0;0.0;1
CPU0004;Anda sin disco;0.0;0.0;0.0;1
CPU0005;Mother HP, Micro i3. No tiene RAM. HD:500GB;0.0;0.0;0.0;1
1MSBH91602;Pasta térmica MX-4 thermal compound;0.0;0.0;0.0;1
2MSBH91602;Pasta térmica MX-4 thermal compound;0.0;0.0;0.0;1
3MSBH91602;Pasta térmica MX-4 thermal compound;0.0;0.0;0.0;1
4MSBH91602;Pasta térmica MX-4 thermal compound;0.0;0.0;0.0;1
5MSBH91602;Pasta térmica MX-4 thermal compound;0.0;0.0;0.0;1
