ClientesCodigo;ClientesNombre;ClientesDireccion;ClientesTelefono;ClientesCelular;ClientesMail;ClientesObservaciones;ClientesDocIdentidad;ClientesResponsable
1;Planeamiento y Calidad Educativa;;;;;;;
4;Planes Nacionales;;;;;;;
5;GPI- Gabinete Pedagógico Interdisciplinario;José Colombres 286;;;gpi@educaciontuc.gov.ar;;;
6;Auditoria;Avenida Sarmiento 850;;;;;;
7;Novedades Salariales;;;;;;;
8;Insumos y Aprestamiento;Avenida Sarmiento 850;;;;;;
9;Educación Inicial;Avenida Sarmiento 850;;;;;;
10;Asuntos Jurídicos;Avenida Sarmiento 850;;;;;;
11;Personal;Avenida Sarmiento 850;;;;;;
14;Gestión de Títulos y Certificados de Estudios;Maipu 1081;;;;;;
15;Educación Rural;Maipu 1079;;;;;;
16;Presupuesto;;;;;;;
17;Presupuesto;Av Sarmiento 850;;;;;;
18;Dirección de Primaria;Avenida Sarmiento 850;;3815476155;;Sergio Campisi- Responsable;;
19;Despacho;av Sarmiento 850;;;;;;
20;Dirección de Superior;CIIDEPT;;;;;;
21;Rendicion de Cuentas Publico;Salta 850;;;;;;
22;Novedade Salariales;AV. Sarmiento 850;;;;;;
23;Jovenes y adultos;Avenida Sarmiento 850;;;;;;
24;Compras;Avenida Sarmiento 850;;;;;;
25;Personal - Area Legajos;;;;;;;
26;Intendencia;Avenida Sarmiento 850;;;;;;
27;Bienes Patrimoniales;;;;;;;
28;Comunicaciones;Atencion al Publico;;;;;;
29;SASE Mesa de Entrada;A. Sarmiento 850;;;;;;
30;Movimientos Financiaros;Av Sarmiento 850;;;;;;
31;Casa de Gobierno;25 de Mayo 90;;;;;;
32;Subdirección de Contaduria;Avenida Sarmiento 850;;;;;;
33;Secretaría de Estado de Educación;Avenida Sarmiento 850;;;;;;
34;Junta de Disciplina;Av. Sarmiento 880;;;;;;
35;Contaduria;;;;;;;
36;Infraestructura Escolar;Marcos Paz 982;;381-5541478;subinfraestructura@educaciontuc.gov.ar;;;
37;Junta de Superior;Av Colon;;;;;;
38;Educación Secundaria;Avenida Sarmiento 850;;;;;;
39;Tesoreria - Pagos;Avenida Sarmiento 850;;;;;;
40;SASE - Becas;Avenida Sarmiento 850;;;;;;
41;Infraestructura;;;;;;;
42;Infraestructura;;;;;;;
43;Prensa;Av. Sarmiento y Salta;;;;;;
44;Junta de Clas. de Ed. Superior, Especial y Artisti;Avenida Colón 451 ;;;;;;
45;Administración;Avenida Sarmiento 850;;;;;;
46;Dirección de Educacion Privada;;;;;;;
47;Rendicion de Cuentas de Privados;Avenida Sarmiento 850;;;;;;
48;SASE;Avenida Sarmiento 850;;;;;;
49;Tribunal de cuentas;;;;;;;
