MarcasCodigo;MarcasNombre
1;Sony
2;Philips
3;Tonomac
4;Grundig
5;Akio
6;Vestel
7;Audinac
8;Bgh
9;Philco
10;Kenia
11;Daewoo
12;Broksonic
13;Akai
14;LG
15;Samsung
16;Continental
17;Crown Mustang
18;Supremo Ã³ Sagem
19;Sansui
20;Sanyo
21;Premium
22;Acoa
23;Acoustech
24;Admiral
25;Aiko
26;Aiwa
27;Akai Nokia
28;Akia
29;Akiba
30;Akieshi
31;Alba
32;Alce
33;Alfide
34;Alton
35;Antu
36;Antu United
37;Aoc
38;Apex
39;Astrocolor
40;Atori
41;Audio Logic
42;Aurora
43;Axxion
44;Bang Y Olufsen
45;Barco
46;Basic Line
47;Beko
48;Beltek Nec
49;Ben Ross
50;Beovision
51;Miray
52;Blaupunkt
53;Blaupunkt Siemens
54;Blue Sky
55;Bogart
56;Bosei
57;Bosei/econo/inte/sam
58;Bowmar
59;Brasafro
60;Longvie
61;Brassonic
62;Briomar
63;Brionvega
64;Brookline
65;Bru
66;Bruxell
67;Bush
68;Casio
69;Cbs
70;Cce
71;Chinos Tv
72;Citizen
73;Clarex
74;Cleveland
75;Cleveland Proas
76;Colour Tv
77;Columbia
78;Conrac
79;Constel
80;Contex
81;Coprohogar
82;Cosmic
83;Cromwell
84;Crosley
85;Crown
86;Compac
87;Curtismathes
88;Daenix
89;Daenyx
90;James
91;Daewoo Irt
92;Msi
93;Daian
94;Daichi
95;Dayko
96;Daytron
97;Degader
98;Delm
99;Delos
100;Delta
101;Dewo
102;Digital
103;Digivision
104;Dinamit
105;Dinamix
106;Disco
107;Douglas
108;Drean
109;Dumont
110;Dynamic
111;Dynasty
112;Ec-n
113;Econo
114;Elbe
115;Elbe Seleco
116;Armado
117;Elcit
118;Elecan Luis
119;Elect.beltran
120;Electr Univ
121;Electra
122;Electroset
123;Electuniversal
124;Elekta
125;Elemis
126;Eltec
127;Embassy
128;Embasy
129;Emerson
130;Emkay
131;Epson
132;Eurotech
133;Fapesa
134;Fara
135;Fedel
136;Felcap
137;Ff
138;Finluk
139;Finlux
140;First Line
141;Fisher
142;For-a
143;Compaq Armada
144;Formenti
145;Freeway
146;Fribe
147;Fujitron
148;Funai
149;Futaba
150;Gainvox
151;Galaxy
152;Gbc
153;General
154;General Electric
155;Acer
156;Goldstar
157;Goodmans
158;Gorenje
159;Gradiente
160;Graetz
161;Green
162;Grundig Blaupunkt
163;Gte
164;Guesst
165;Hannover
166;Hannover Televideon
167;Hantarex
168;Hikato
169;Hisense
170;Hishi
171;Hitachi
172;Hokutone
173;Howland
174;Hqs
175;Hyundai
176;Hyunwoo
177;Iccolor
178;Imperial
179;Inco
180;Indesit
181;Inter
182;International
183;Irt
184;Irtalba
185;Irt Universum
186;Itc
187;Itc Drean
188;Packarbell
189;Itt
190;Itt Digivision
191;Itt Drean
192;Itt Graetz
193;Itt Nokia
194;Jc Penney
195;Joulan
196;Jvc
197;K50sq
198;Kapsch
199;Kawa
200;Keio
201;Keison
202;Keisons
203;Ken Brown
204;Kenia Sharp
205;Sony Ericsson
206;Kenrown
207;Kensho
208;Killey
209;Kioto
210;Kitel
211;Kneissel
212;Kolin
213;Kolor
214;Korting
215;Kotron
216;Ktv
217;Kuwait
218;Kuway
219;Lec
220;Lenco
221;LG Goldstar
222;3m
223;Loewe
224;Luxor
225;Lybra
226;M&s
227;Magnatech
228;Magnavox
229;Makrosonic
230;Marelli
231;Marshall
232;Master
233;Masuda
234;Matsui
235;Maxonic
236;Mecoa
237;Mery
238;Metz
239;Microsonic
240;Minatex
241;Miracle
242;Misawa
243;Mitsai
244;Mitsubishi
245;Mivar
246;Montgomery
247;Montgomery Ward
248;Mullard
249;Mustang
250;Nakai
251;Nap
252;Nasa
253;National Panasonic
254;National
255;Sankey
256;Nec
257;New Point
258;Newtech
259;Nippon America
260;Nisato
261;Nn
262;Noblex
263;Noblex Samsung
264;Nokia
265;Nordehi
266;Nordmende
267;Speler
268;Nusonic
269;Oceanic
270;Olympic
271;Oma
272;Onwa
273;Orava
274;Orient
275;Orion
276;Orion  Otake
277;Osaki
278;Otake
279;Otc
280;Owners
281;Ozawa
282;Paladium
283;Paltec
284;Panasonic
285;Panatronic
286;Panavox
287;Panoramic
288;Peabody
289;Peony
290;Peregrine
291;Philco Nec
292;Philcoford
293;Phoenix
294;Phonola
295;Pick-boy
296;Pioneer
297;Planctron
298;Power Acoustik
299;Precision
300;Premier
301;Prima
302;Recoo
303;Proline
304;Prosonic
305;Protech
306;Proxima
307;Quasar
308;Radiotone
309;Ralfo
310;Rancho
311;Rank Arena
312;Fair Mate
313;Ranser
314;Rca
315;Rca Ge
316;Recor
317;Intel
318;Regency
319;Repman
320;Ribeiro
321;Roadstar
322;Rochester
323;Rodeo
324;Rosario
325;Royal
326;Saba
327;Sahita
328;Sakura
329;Salora
330;Sampo
331;Samson
332;Sankei
333;Sansei
334;Canon
335;Sanwa
336;Sasaki
337;Schaub Lorenz
338;Generica
339;Schneider
340;Sears
341;Seg
342;Seiko
343;Seleco
344;Selester
345;Selmaster
346;Semp
347;Semp Toshiba
348;Hewlett Packard
349;Todos Que Usam Chassis Pt92
350;Sensipower
351;Sensipower/crown
352;Serie Dorada
353;Setron
354;Sharp
355;Shivaki
356;Showa
357;Siam
358;Sicot
359;Siemens
360;Silver
361;Silver Crown
362;Silverrown
363;Singer
364;Sinudyne
365;Skyworth
366;Sonic
367;Sontec
368;Sowa
369;Spectra
370;Spica
371;Starex
372;Strombergc
373;Stutgart
374;Subaru
375;Surrey
376;Sylvania
377;Tahoci
378;Taiwarean
379;Talent
380;Talent Digivision
381;Tama
382;Tamashi
383;Motorola
384;Tatung
385;Tauras
386;Tc
387;Teac
388;Techrom
389;Techron
390;Tecnologia
391;Tecsonic
392;Telaio
393;Telcap
394;Telecolor
395;Telefunken
396;Telerama
397;Telestar
398;Televideon
399;Telrad
400;Tevecap
401;Tevion
402;Tfk
403;Thompson
404;Todas
405;Tokai
406;Tongkook
407;Tonwa
408;Top House
409;Sony Cyber-shot
410;Toshiba
411;Totanic
412;Towa
413;Tvdany
414;Ultrasonic
415;Ultravox
416;Unimor
417;United
418;Universum
419;Todos
420;Utopia
421;Vanguard
422;Vidicron
423;Virginia
424;Hp
425;Generico
426;Warman
427;Wellfund
428;White Westinghouse
429;Winco
430;Ww
431;Ww 250
432;Yalgo
433;Zecna
434;Zenith
435;Audilogic
436;Diplomatic
437;Sony Xplod
438;Iphone
439;Gpx
440;Lanier
441;Tcl
442;Enie
443;Optoma
444;Mitsui
445;Rheem
446;Welchallyn
447;Clon
448;Haier
449;Kia
450;Varios
451;Gateway
452;Bangho
453;Konka
454;Kenwood
455;GE
456;Mk-tec
457;Alcatel
458;Vizio
459;Mitsibishi
460;Bosch
461;Ciclos
462;Takuma
463;Chinos
464;Kingston
465;Qbex
466;Likom
467;Honda
468;Urli
469;Protalia
470;Fullone
471;Ferrari
472;Durabrand
473;Easy
474;Conqueror
475;Ariston
476;Zenit
477;Dell
478;Siera
479;Firstline
480;Hiunday
481;Gold Star
482;Dfx
483;Shimasu
484;Maxtor
485;Brother
486;Supertalent
487;Stel
488;Helvi
489;Biostar
490;Yelmo
491;Dowen Pagio
492;Compaq
493;Lenovo
494;Compaq Presario
495;Siragon
496;Ricoh
497;Sin Marca
498;Ibm
499;Qsc
500;Challenger
501;Ensamblada
502;Philips Silvania
503;Truper
504;Cointra
505;Marantz
506;Digitech
507;Panashiba
508;Accurian
509;Polaroid
510;Texas Instruments
511;Olibook
512;Asrock
513;Conair
514;Sila
515;Gama
516;Todas / Genericas
517;Elux
