BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
1;669; Sintonizador malo;se cambio selector de canales.;No hay imagen ni sonido, aparece solo lluvia .;0
2;698;sintonizador;cambio de sintonizador;solo aparece lluvia en el sisntonizador principal;0
3;762;No prende;Sigue sin prender;No prende;0
4;886;no arranca;"la falla la encontre en el capacitor C609 y remplace el IC608
y quedo canon";la luz led de encendido me aparecia intermitente sin parar.;0
5;887;El televisor no enciende;Esto lo provoco el varistor VDR601 con fugas(que va conectado a traves de una resistencis al T605) media 290kohms,cuando su valor debe ser de infinito.Esta falla me ha llegado varias veces;El televisor no enciende,se cambiaron los trs Q601 y Q602 que son el 2SC4834 estaban en corto y la R601 de 0.01 abierta y al conectar la clavija a la corrienta al instante se volvian a daÃ±ar;0
6;888;SONIDO  INTERMITENTE;cambiar el ic de sonido el TDA8580j;el tv prende sin sonido y luego de un tiempo funciona el audio quedando intermitente;0
7;888;sin sonido;"cambiar el procesador de audio que esta en una board anexa al lado del tuner y donde esta el IC402
espero esto les ayude en algo si tienen siintomas similares favor agregar informacion extra";televisor con funcion normal en video  pero arranca sin audio y en un tiempo al rededor de 15-20 minutos arranca el audio;0
8;888;no prende;"utilizar un horizontal de buenos amperios 
mejor original pero si no utilizar el bu2508df y remplazar los condenzadores de corte de picos al lado del horizontal todos los que encuentre";televisor sony no prende flay back malo y horizontal al reparar calienta el horizontal;0
9;889;imagen con lineas blancas;"el tv unos meses atras se abia apagado total mente solo se le encontro un puente iterumpido se soluciono ilisto el tv aranco pero que docon lafalla que ya mencione .
es pero meayuden y tambien les sirvachasis ba5";"hola atodos la falla es lasiguiente  en la imagen aparecen lineas blancas i esta nodeja de temblar alrato de es tar prendido la falla se propaga mas.
grasias";0
10;944;VARIAS;Gracias;"COMO LE HAGO PARA SUBIR DIAGRAMAS O ARCHIVOS EN PDF.
Gracias espero respuesta.";0
11;986;no abre vertical;se midieron voltajes todo ok.esepto voltaje pin2 del tda8305.Se penso en primer lugar que el problema seria qulpa IC vertical pero el cabio no dio resultados despues se canbio tda8305 sin resultados se procedio a medir las resistencias una por una asta en;"al encender tv partio vien despues de un rato se enpeso achicar el vertical asta quedar en una linea horisontal
";0
12;1002;funciona  y se apaga;se remplazo transistor f423 =7440 con fuga.ok.;funciona 15 a 20 minutos y se apaga,si lo prende prende y se apaga al instante,voltaje en colector de f423 =7440 sobrepasaba los 35v debe ser 2.8v.transistor con fuga.;0
13;1005;Led titila 4 veces y no arranca;cambiar CI de audio en posiciÃ³n 7953;;0
14;1005;Alcanzado por un rayo, puente diodo en corto, R 3506 abierta, repuestos Ã©stos, no arranca, titila 4 veces el led, se advierte rastro de chispa entre el terminal 1 del chopper y la bobina 5551;Reponer el transistor 7400 driverH, y el capacitor 2402 de 330pF.;;0
15;1043;No arranca;se encontro el condensador del horizontal 331 2KV en corto y diodo superficial de 5V partido en la fuente, se cambiaron los componentes y en tv arranco normal;no arranca, se encontro el condensador del horizontal 331 2KV en corto y diodo superficial de 5V partido en la fuente.;0
16;1081;Standby;"se encontro el TRH con fuga, la causa yugo en corto 1.1ohm
Ok";Tv en standby;0
17;1088;no enciende;Se encontraba defectuoso el transistor del driver horizontal, es un BF422. Se reemplazo y funciono perfectament;"la fuente funciona perfectamente, pero el horizontal no arranca. 
La tension de fuente del +B es de 97V
Se observo con osciloscopio que el pulso que llegaba al transistor de horizontal era muy bajo, 2 Vpp.
El led de stanby queda titilando.";0
18;1089;Imagen deformada tipo ola;Condensador de 200voltios para 100microfaradios(C432) y resistencia de 1K ohmios (R432);El tv al encender presenta la falla de ondulacion de la imagen de abajo hacia arriba ,se puede observar que tiene mala filtracion en la fuente de voltaje. Se destapo y se comenzaron a revisar las resistencia y condensadores de la fuente .midiendolo con un;0
19;1090;sintonia intermitente;reemplazar el diodo 6265;al medir el voltaje en katodo del diodo 6265 que polariza la base de Q7265 el voltaje variaba cuando se le iba la sintonia;0
20;1090;sintonia intermitente;reemplazar el diodo 6265;al medir el voltaje en katodo del diodo 6265 que polariza la base de Q7265 el voltaje variaba cuando se le iba la sintonia;0
21;1100;muerto no enciende ni STAMBY;"bueno empecemos ante todo no soy tecnico pero algo se asi que espero aportar algo.
bueno el tv llega a mis manos sin prender ni el STAMBY pues me dispongo a desarmarlo una mugre tremenda hace meses no andaba mido la fuente muerta ( en parte ) por que no";Tv no enciende ni STAMBY muerto mal;0
22;1105;prende y apaga a los pocos segundos;Los SMD de salida horizontal defectuosos. los cambiÃ© por bc 337 y 327. De lujo...;"Enciende bien, audio, video...todo.
15 segundos +/- se apaga y se queda asÃ­ hasta que lo desconecto, espero que descargue la fuente y lo vuelvo a encender y hace lo mismo.
Fuente bien, tensiones bien, vertical bien, no hay consumo execivo en screen,";0
