TiposEquiposCodigo;TiposEquiposNombre
52;Televisor
53;Impresora
54;Scanner
55;Copiadora
56;Celular
57;Telefono
58;Fax
59;Monitor
60;Dvd
61;Videograbadora
62;Proyector
63;Audio
64;Autoestereo
65;Camara Digital
66;Filmadora
67;Balanza
68;Registradora
69;Amplificador
70;Tv
71;Tipo De Prueba
72;Tele
73;Telefonos Inalambricos
74;Camara Fotográfica
75;Lcd / Plasma / Oled
76;PC
77;Equipo De Audio
78;Minicomponente
79;Laptop
80;Consola de Juego
81;Lavarropas Aut.
82;Placa Madre
83;Notebook
84;Decodificador
85;"Tv 29\"""
86;Fotocopiadora
87;Walkman
88;Minicomponetes
89;Refrigerador
90;Acondicionador de aire
91;Equipo Electromedico
92;"Tv 20 \\\"""
93;Varios
94;Reproductor de Mp3/Mp4
95;Impresora Laserjet
96;Televideo (tv-dvd / tv-video)
97;Tv 14
98;Lcd/Plasma/Oled
99;Consola Play 2
100; Mini Componente
101;Microonda
102;Lavarropa
103;Combo tv-vcr / tv-dvd
104;Mini Componente
105;Conversor
106;Home Theater
107;Flash Memory
108;Radio VHF/UHF/BC
109;Pendrive
110;Automovil
111;Ventilador
112;Plancha
113;Calentador a Gas
114;Lavadora
115;Playstation 2
116;Acondicionador De Aire Ventana
117;Radio Grabador
118;Portero / Intercomunicador
119;Disco Duro Pc
120;Mp3
121;Centro Musical
122;Soldadora Inverter
123;Procesadora
124;Lustraspiradora
125;Taladro
126;Portatil
127;Cargador De Baterias
128;Radiograbador c/CD
129;Calentador
130;Modular
131;Secador de cabello
132;
133;Ups
134;Ensamblado
135;Lavavajillas
136;Receptor Tdt
137;Torno Colgante
138;Micromotores
139;Pulidora
140;Reprocuctor de DVD
141;Retroproyector
142;Controlador Fiscal
143;Freezer
144;Television
145;Secador
146;Emisora Cb
147;Cpu (computadora)
148;Impresora Multifunsion
149;"Tv 21"""
150;Cpu
151;Tarjeta De Video
152;Monitor Lcd
153;Cerca Electrica
154;Grabadora
155;Dvd Amplificador
156;Cd Player
157;Televisor Con Vcr
158;Silla De Ruedas Con Motor
159;Radiostereo
160;Consola De Videojuego
161;Pulidora Electrolitica
162;Fuente
163;Microtaladro
164;Reproductor de Cd
165;Videocamara
166;Tv29
167;Inversor
168;Frigobar
169;Radiograbador
170;Secarropa
171;Xbox
172;Tv B/n Con Radio Am/fm
173;"Televisor 21\"""
174;Potencia Audio Car
175;Fuente de alimentacion
176;Impresora Multifuncion Tinta
177;Tarifador De Locutorio
178;Consola de Audio
179;Maquina De Hielo Seco
180;Luz Negra
181;Teclado Musical
182;Amplificador Con Mixer
183;Cartucho De Toner
184;Micromotor
185;Pulidora De Mesa
186;Mp4
187;Pinza Voltamperimetrica
188;Amplificador Hifi
189;Magnetofono De Bobinas
190;Pletina De Casette
191;Dvd Recorder
192;Lcd
193;Heladera
194;Heladera Comercial
195;Desfibrilador
196;Control Remoto
197;Play Station
198;Impresora Matricial
199;Bocinas Para Pc
200;Audímetro
201;Otoemisor
202;Receptor Satelital
203;Monitor Pc
204;Combo Dvd/vcr
205;Telavisor
206;Equipo Portatil
207;Adaptador AC-DC
208;Secadora
210;Impresora
211;Router
212;Eurocase
213;All in One
